"Model","Coefficient","SE","p_value","CI_Lower","CI_Upper","R_squared"
"Basic",-1.30073230917939,2.05585398326548,0.530444717569266,-5.45261365762913,2.85114903927035,0.00898655836997142
"With Covariates",-1.0765204941304,2.58873678952534,0.679989946043141,-6.32672204708413,4.17368105882333,0.0326074654406272
"With Fixed Effects",-0.697483879020804,2.05302763210297,0.735834127328221,-4.84680750188287,3.45183974384126,0.102166048887167
"Heterogeneity",-0.966348851007075,2.40108009133532,0.689539944365699,-5.82299175003206,3.89029404801791,0.102712601880782
