"Model","Coefficient","SE","p_value","CI_Lower","CI_Upper","R_squared"
"Basic",6.7828947368421,4.89375112675986,0.173229792103081,-3.10023616279307,16.6660256364773,0.0441053285506965
"With Covariates",3.27867530450973,4.45136108741313,0.466165611796706,-5.74910341307066,12.3064540220901,0.359570528339681
"With Fixed Effects",5.53440766550522,4.94946725317636,0.270159816709273,-4.46883879501631,15.5376541260267,0.116139637251456
"Heterogeneity",-0.550000000000012,6.55995850257878,0.933610951162708,-13.818768498984,12.718768498984,0.166657363959737
