"Model","Coefficient","SE","p_value","CI_Lower","CI_Upper","R_squared"
"Basic",-2.32749854371691,2.00207276992286,0.251736704021279,-6.37076652838117,1.71576944094735,0.0306290066468189
"With Covariates",-1.15721172444997,1.98283940400657,0.563119360706255,-5.17859642462335,2.8641729757234,0.234335362606955
"With Fixed Effects",-1.15019966539365,1.55797722345022,0.464663260211341,-4.29898909036659,1.99858975957929,0.408408103259062
"Heterogeneity",-0.941252710245587,2.41810200818749,0.699206612535889,-5.83232568592907,3.9498202654379,0.408759479548622
